table,stage,rows,columns,duplicates,total_nulls,memory_mb
customers,raw,99441,5,0,0,26.59
customers,transformed,99441,5,0,0,26.59
geolocation,raw,1000163,5,261831,0,130.26
geolocation,transformed,19015,5,0,0,2.48
sellers,raw,3095,4,0,0,0.59
sellers,transformed,3095,4,0,0,0.59
product_categories,raw,71,2,0,0,0.01
product_categories,transformed,71,2,0,0,0.01
products,raw,32951,9,0,2448,6.3
products,transformed,32340,10,0,0,6.69
orders,raw,99441,8,0,4908,52.94
orders,transformed,99441,10,0,4908,29.97
order_items,raw,112650,7,0,0,35.99
order_items,transformed,112650,7,0,0,29.54
payments,raw,103886,5,0,0,16.23
payments,transformed,103883,5,0,0,17.02
reviews,raw,99224,7,0,145903,39.12
reviews,transformed,99224,7,0,145903,27.77
